epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2443,2.42018,1.96114,2.13908,0.21064,0.09061,0.04245,0.01716,2.96406,2.95608,2.71638,0.131625,0.000248311,0.000248311
2,54.5347,2.39957,1.49708,2.17172,0.3565,0.22559,0.1979,0.10231,2.39621,1.57122,2.07881,0.113125,0.000498226,0.000498226
